Protein_id	Protein_description	Gene_name	hrp_1	hrp_2	h2o2_1	h2o2_2	t4_1	t4_2	t5_1	t5_2
Q9V3Z9	HL02234p	Vajk3	7.4571	6.9037	7.1203	6.9471	6.7262	6.7889	7.8769	7.8371
A0A0B4KGV7;Q9VCG3	Uncharacterized protein, isoform B;Putative OPA3-like protein CG13603	CG13601;Dmel\CG13601	7.341	7.2106	7.286	7.221	7.1913	7.2367	6.8151	7.3431
A0A0B4KFZ3;A0A0B4LH87;Q9VFI9	Phosphodiesterase;Phosphodiesterase;cGMP-specific 3',5'-cyclic phosphodiesterase	Pde6	6.9811	7.3524	7.0583	7.3362	7.3444	7.4018	7.0956	7.075
Q9VHY6	ER membrane protein complex subunit 1	CG2943-RA;EMC1	7.0248	7.2487	7.3374	7.2948	7.2226	7.2457	7.1545	7.0977
A0A3G1DKV1	MAP kinase-activating death domain protein	;rab3-GEF-RB	6.9345	7.0771	7.1645	7.2493	7.3289	7.3707	7.235	7.2654
Q9VTG0	Phosphate transporter	NaPi-III	7.1144	7.1142	7.3015	7.1383	7.2603	7.2741	7.1356	7.2868
O61722;Q7KPK2;Q95VY8	PRL-1 phosphatase, isoform A;Putative prenylated protein tyrosine phosphatase PRL-1;Protein tyrosine phosphatase	PRL-1	7.3701	7.1954	7.1863	7.2008	7.2326	7.1818	7.0956	7.1603
P13607-7	Sodium/potassium-transporting ATPase subunit alpha, Isoform 7	;Atpalpha;Atpalpha-RD;JYalpha	7.251	7.119	7.1424	7.1455	7.279	7.2724	7.0951	7.3044
Q9VZU7	Ubiquitin carboxyl-terminal hydrolase	Usp5	7.369	7.1577	7.1379	7.1034	7.2278	7.212	7.1919	7.207
Q9VVW3	Sideroflexin-2	Sfxn2	6.9402	7.4897	7.0382	7.3468	7.4068	7.4316	7.0722	6.8733
A1Z7S3	Rab32, isoform B	Rab32	7.0847	6.9663	6.8537	7.1899	7.5893	7.5055	7.281	7.1239
P55162	Membrane-associated protein Hem	Hem	7.018	7.3353	7.3256	7.3165	7.2095	7.2341	7.1851	6.9701
Q9VGJ7	FI23918p1	CG6834;Dmel\CG6830;Dmel\CG6834	7.1717	7.0358	7.3493	7.3986	7.0525	7.1223	7.1856	7.2691
C7LAE4;E1JJ68;P19109;P19109-2;P19109-3;P19109-4	RNA helicase;RNA helicase;ATP-dependent RNA helicase p62;ATP-dependent RNA helicase p62, Isoform C;ATP-dependent RNA helicase p62, Isoform D;ATP-dependent RNA helicase p62, Isoform E	Rm62;Rm62-RB	7.2802	7.093	7.1807	7.1424	7.2246	7.2503	7.1383	7.2567
I0B1N8;Q7KW39;Q7KW39-2	Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (Fragment);Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial;Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial, Isoform A	CG17896;CG17896-RB;EG:171D11.1	7.2974	7.1712	7.1437	7.1342	7.2244	7.2611	7.0805	7.2398
Q9VAQ0	Cullin 5	Cul5	7.1888	7.2937	7.3187	7.3088	7.1933	7.2322	7.0366	6.9756
P45437	Coatomer subunit beta	betaCOP	7.1531	7.1918	7.2319	7.2009	7.1886	7.1977	7.1976	7.1856
B7YZV1;B7YZV2;B7YZV3;B7YZV4;B7YZV4-2;M9NF02;M9PDA0;Q8SXR0;X2BZJ7	Phosphodiesterase;Phosphodiesterase;Phosphodiesterase;Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1;Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1, Isoform C;Phosphodiesterase;Phosphodiesterase;Phosphodiesterase;Phosphodiesterase	Pde1c	7.1469	7.1144	7.2424	7.1625	7.1591	7.2418	7.2286	7.2466
Q8MSS3;Q9W3R0	RH60839p;FI02094p	cg9657;CG9657	7.2035	7.2836	7.2157	7.2383	7.2187	7.2689	7.0472	7.0565
A0A0S0X8K7;Q9W4V8	Mitochondrial import inner membrane translocase subunit TIM50;Mitochondrial import inner membrane translocase subunit TIM50-C	ttm50	7.149	7.1772	7.2076	7.2325	7.1654	7.1995	7.0419	7.3393
A0A0C4DHN4	Defective proboscis extension response 21	;dpr21;dpr6	7.4305	6.9563	6.9837	6.9487	7.2418	7.306	7.2321	7.4117
Q9VW59	LD16419p	RhoGDI	7.023	7.1999	7.2149	7.2515	7.2554	7.2619	7.1716	7.1321
A0A0B4KHZ0;A0A0B4KI43;A8JRE3;Q6AWL3;Q95TK6;Q9N9Z6;Q9VB55	Without children, isoform E;Without children, isoform D;Without children, isoform B;RE05635p;LD44304p;WOC protein;Without children, isoform A	woc;woc-RB	7.3231	7.1428	7.1984	7.1312	7.133	7.2133	7.1622	7.1963
O61646;Q9VL71	Splicing factor SRp54;LD29830p	Srp54	7.3848	7.265	6.7168	7.2784	7.1258	7.1249	7.1961	7.4083
Q7K332	GH17623p	CG3364	7.1219	7.252	7.2618	7.1892	7.1761	7.1986	7.1703	7.1262
Q24439	ATP synthase subunit O, mitochondrial	ATPsynO;Oscp	7.3358	7.039	7.1098	7.0958	7.2593	7.2005	7.167	7.2802
Q9VXA3	LP21163p	RSG7	6.9525	7.1005	7.2359	7.1297	7.2818	7.3417	7.2136	7.2309
C6TP60;D8FT24;E4NKN2;P48596;P48596-2;P48596-3	GTP cyclohydrolase 1 (Fragment);GTP cyclohydrolase 1;GTP cyclohydrolase 1;GTP cyclohydrolase 1;GTP cyclohydrolase 1, Isoform B;GTP cyclohydrolase 1, Isoform C	Pu;Pu-RB;Pu-RC	7.2578	7.4652	7.246	7.2435	7.1871	7.1539	7.1016	6.8267
F0JAG6;M9MS06;M9PGA7;P18091;P18091-2;P18091-3;P18091-4;P18091-5	Alpha actinin, isoform F;Alpha actinin, isoform D;Alpha actinin, isoform G;Alpha-actinin, sarcomeric;Isoform Non-muscle of Alpha-actinin, sarcomeric;Isoform Larval muscle of Alpha-actinin, sarcomeric;Isoform Adult muscle of Alpha-actinin, sarcomeric;Alpha-actinin, sarcomeric, Isoform A	Actn	7.2111	7.2728	7.1832	7.2177	7.1076	7.1043	7.1449	7.2266
A0A0B4K697;A0A0B4K7C4;A0A0B4KHL4;Q4AB31;Q86BR9;Q86NK8;Q8INB6	Gilgamesh, isoform J;Gilgamesh, isoform K;Gilgamesh, isoform L;Gilgamesh, isoform G;Gilgamesh, isoform B;Gilgamesh, isoform I;Gilgamesh, isoform C	;Dmel\CG2577;gish	7.1129	7.1296	7.1571	7.192	7.216	7.2484	7.2007	7.2087
M9PHN8;Q27580;X2JF40	Adenosylhomocysteinase, isoform B;Adenosylhomocysteinase;Adenosylhomocysteinase, isoform C	Ahcy	7.0661	7.2634	7.49	7.5118	7.1454	7.1564	6.9186	6.9012
Q7KTW5	Inositol-1-monophosphatase	Dmel\CG9391	7.3131	7.0564	7.1346	7.2073	7.2416	7.2155	7.0887	7.1933
A0ANV4;A0ANV9;A0ANW1;Q7KJV5;Q7KSM5	CG12276 protein;CG12276 protein;CG12276 protein;Ubiquitin-like protein activating enzyme N subunit;Activator of SUMO 1	Aos1;CG12276	7.2012	7.1199	7.237	7.1879	7.2065	7.2427	7.1143	7.137
Q9VAY2	HSP 82	;Gp93	7.546	7.234	6.8537	7.0686	7.2594	7.2206	7.1165	7.1475
A4V362;B7Z0N3	Uncharacterized protein, isoform N;Uncharacterized protein, isoform I	CG15688;CG15690;CG42322-RF;CG42322-RI	7.0683	7.4317	6.3579	7.3768	7.5082	7.5368	7.146	7.0171
A0A0B4K6P4;A0A0B4K6W9;A0A0B4LHY1;A8JRI1;Q7KES3;Q7KRS7;Q8IMF8;Q8T0H5;Q8WR53;Q95UI6	Hephaestus, isoform W;Hephaestus, isoform Y;Hephaestus, isoform Z;Hephaestus, isoform L;Hephaestus;Hephaestus, isoform G;Hephaestus, isoform C;LD03185p;Hephaestus, isoform B;Hephaestus	heph	7.0982	7.1079	7.1501	7.1826	7.1895	7.2103	7.2356	7.2639
E1JGX2;P32865	G protein-coupled receptor kinase;G protein-coupled receptor kinase 1	Gprk1	7.1061	7.2049	7.3191	7.1559	7.1776	7.2219	7.1009	7.1509
E2QCS8;Q9VQ76	THO complex subunit 2;THO complex subunit 2	tho2	6.9867	6.9528	7.3596	7.2188	7.2284	7.2713	7.2314	7.1819
A8JTM7	Megalin, isoform A	CG34352-RA;mgl	7.1672	7.1811	6.9742	7.1063	7.2576	7.3002	7.2298	7.2109
A1Z803	FI02892p	CG1665;Marc	7.3203	6.716	7.1925	7.0764	7.2929	7.3543	7.1535	7.3109
Q9VHL2	T-complex protein 1 subunit eta	CCT7	7.2055	7.2131	7.2214	7.1704	7.0874	7.1433	7.1402	7.2299
A0A0B4LEY2;A0A0B4LF85;C0PTW4;E2QCC2;Q0E9A2;Q7JR72;Q95T77	No extended memory, isoform K;No extended memory, isoform L;MIP02843p;No extended memory, isoform M;No extended memory, isoform C;No extended memory, isoform A;GH13729p	CG8776-RE;nemy	6.8059	7.3796	7.2144	7.2862	7.3775	7.4066	7.1312	6.8095
O96083;Q86NK7;Q94883	DREF transcription factor;LD24482p;DNA replication-related element factor, isoform A	Dref	7.0317	7.0375	7.2288	7.205	7.1783	7.246	7.2106	7.2727
A0A0B4LG19;B7YZL1;B7YZL3;B7YZL5;B7YZL6;B7YZL7;B7YZL8;Q0E919;Q7YTZ4;Q95TV9	Uncharacterized protein, isoform W;Uncharacterized protein, isoform O;Uncharacterized protein, isoform T;Uncharacterized protein, isoform N;Uncharacterized protein, isoform R;Uncharacterized protein, isoform X;Uncharacterized protein, isoform P;FI07659p;GH22187p;GM13116p	10737;CG10737;Dmel\CG10737	6.9614	7.2036	7.3555	7.4307	7.1788	7.1865	7.1019	6.9823
Q8SYJ2	GEO09626p1	ND-MLRQ	7.1987	7.0307	7.2013	7.0625	7.2718	7.2365	7.0625	7.3181
M9MRD9;Q8MQQ8;Q9VLS7	Phosphatidic acid phospholipase A1, isoform B;LD21041p (Fragment);LD21067p	PAPLA1	7.4619	7.3165	7.4317	7.3485	6.5736	6.7405	7.1885	7.3053
P54397	39 kDa FK506-binding nuclear protein	FK506-bp1	6.9657	7.2296	7.2018	7.2767	7.2559	7.2873	7.1803	6.9664
Q9VM11	HL01515p	Dmel\CG5973	7.1086	7.1931	7.3369	7.2651	7.0911	7.1503	7.1689	7.0377
Q8MSW0	Isoleucyl-tRNA synthetase	IleRS	7.0292	7.3057	7.0594	7.3043	7.1763	7.2044	7.0526	7.2091
Q8SYD5;Q9U6P7	RE67111p;FI18813p1	Syt4	7.1239	7.2669	7.3201	7.3481	6.9862	7.0975	7.0001	7.1969
A0A0B4K7L8;A0A0B4KH77;A8JRD7;Q9VBA3	Uncharacterized protein, isoform C;Uncharacterized protein, isoform D;Uncharacterized protein, isoform B;AT30002p	BcDNA.GH07466;BcDNA:GH07466;CG5518;sda	7.1081	7.2295	7.2533	7.2274	7.2841	7.2781	7.0237	6.9276
A0A023GQ97;Q0KIF2	Eye-enriched kainate receptor, isoform D;Eye-enriched kainate receptor, isoform B	CG9935-RA;Ekar	7.0775	7.6159	5.7972	7.0791	7.5334	7.6193	7.2999	7.3055
D2NUK8;Q9VN91	RH04101p (Fragment);MORN repeat-containing protein 4 homolog	retinophilin-RB;rtp	6.7802	6.9782	7.029	7.0758	7.2876	7.2229	7.4741	7.4788
Q867Z4	Longitudinals lacking protein, isoforms F/I/K/T	lola;lola-RQ	7.1035	7.0833	7.0268	7.0296	7.3317	7.358	7.1516	7.2387
Q24506;Q9VJ43	Non-specific lipid-transfer protein;Non-specific lipid-transfer protein	Dmel\CG17597;ScpX	7.2186	7.3159	7.1575	7.1606	7.2062	7.168	7.0581	7.0373
Q9V3E5	Tetraspanin	Tsp66E	7.2865	6.9768	7.0688	7.1161	7.2414	7.2628	7.1661	7.1986
E4NKK7;Q9VGA0	AT21115p (Fragment);Glutathione S transferase D9, isoform A	GstD2;GstD2-RA;GstD4;GstD9;GstD9-RA	6.8972	7.2921	7.2329	7.134	7.2025	7.2432	7.1934	7.1156
M9PCN6;P16554;P16554-2	Numb, isoform D;Protein numb;Protein numb, Isoform Maternal	numb	7.226	7.1177	7.1262	7.1439	7.1178	7.1632	7.2476	7.1636
Q9V3Y4	LD43650p	Mtch	7.17	7.2894	7.1614	7.3331	6.7832	6.8035	7.3269	7.4371
Q86NN8;Q9VMB9	RH49324p (Fragment);Cytochrome c oxidase subunit 5B, isoform A	COX5B	7.3649	7.2535	5.6699	7.3095	7.4892	7.4467	7.1709	7.5944
Q9W3N1	RH59310p	spidey	6.9498	7.1814	7.2311	7.2935	7.2209	7.261	7.1571	6.997
A5XCL5;E1JI91;Q9VSW1;Q9VSW2	UTP--glucose-1-phosphate uridylyltransferase (Fragment);UTP--glucose-1-phosphate uridylyltransferase;UTP--glucose-1-phosphate uridylyltransferase;UTP--glucose-1-phosphate uridylyltransferase	UGP;UGP-RE	7.1326	7.1639	7.2363	7.1659	7.1141	7.14	7.174	7.1648
A0A0B4KF06;Q0E993;Q960E6;T2GFI6	Valyl-tRNA synthetase;Valyl-tRNA synthetase;Valyl-tRNA synthetase;Valyl-tRNA synthetase	Aats-val-RA;ValRS	7.0552	7.246	7.292	7.2462	6.9471	7.142	7.218	7.1447
Q9W0M7	Splicing factor 3B subunit 3	Sf3b3	6.9812	7.1954	7.3957	7.377	7.1704	7.1975	6.9711	7.0022
Q5BIA9	RE10908p	CG8613;Dmel\CG8613	7.1702	7.0573	7.1302	7.1267	7.1674	7.2106	7.1272	7.284
M9PH44;P82295	Prominin-like, isoform E;Prominin-like protein	prominin-like;prominin-like-RA;promL	7.4155	6.9685	6.9051	6.8689	7.3169	7.33	7.2504	7.2151
M9PAZ4;Q59E11;Q7YTY8;Q8MQR5;Q9VPV8	IA-2 protein tyrosine phosphatase, isoform E;IA-2 protein tyrosine phosphatase, isoform D;GH05223p;GH26549p (Fragment);IA-2 protein tyrosine phosphatase, isoform C	IA-2	6.776	7.2823	7.2367	7.2042	7.2985	7.33	7.0879	7.0523
M9PCC1;O18640	Receptor of activated protein kinase C 1, isoform C;Guanine nucleotide-binding protein subunit beta-like protein	CG1796;Rack1	6.9892	7.2454	6.8918	7.2673	7.2026	7.1965	7.2742	7.1989
H9XVL5;Q9V4A7	Plexin B, isoform B;Plexin-B	PlexB	7.3096	7.2355	7.1491	7.171	7.0133	7.0756	7.1982	7.1111
Q9VF87;U3PXB4	Cytoplasmic FMR1-interacting protein;FI23909p1 (Fragment)	Sra-1;Sra-1-RA	7.0984	7.3286	7.1327	7.2881	7.1762	7.0838	6.9931	7.1486
M9PI17;Q9VTK9	Aldo-keto reductase 1B, isoform D;Aldo-keto reductase 1B, isoform A	Akr1B	7.1488	7.1088	7.1669	7.1559	7.2359	7.2412	7.0546	7.1311
A4V3J5;A4V3J6;C8VV67;E6PBW8;E8NH29;P07909;P07909-2;P07909-3;P07909-4	Heterogeneous nuclear ribonucleoprotein at 98DE, isoform C;Heterogeneous nuclear ribonucleoprotein at 98DE, isoform F;RE34829p;AT02853p (Fragment);LD46071p (Fragment);Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, Isoform A;Heterogeneous nuclear ribonucleoprotein A1, Isoform E;Heterogeneous nuclear ribonucleoprotein A1, Isoform D	Hrb98DE;Hrb98DE-RA;Hrb98DE-RC;Hrb98DE-RE	7.3321	7.0148	7.0958	7.1335	7.2391	7.1893	7.1563	7.0798
A4V2B8;P08181	Casein kinase IIalpha, isoform C;Casein kinase II subunit alpha	CkIIalpha	7.0653	6.9247	7.2625	7.1966	7.2727	7.3014	7.029	7.1864
Q0E8J3	Zormin, isoform I	CG33484-RA;zormin	7.1026	7.2229	7.1403	7.1827	7.034	7.0548	7.213	7.2873
G2J611;Q9W415	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho;tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho	CG15897;wuho;wuho-RA	7.0934	7.2931	6.8032	7.2398	7.2859	7.3109	7.1789	7.0079
Q9VXZ8	BcDNA.GH02901	pdgy	6.9433	7.1696	7.1725	7.2504	7.2267	7.2867	7.1301	7.0333
Q7K0L5;Q8SZY4	LP01562p;Ecto-5'-nucleotidase 2, isoform A	NT5E-2;veil	7.4088	7.0698	7.0242	6.9572	7.1632	7.239	7.217	7.1313
B5X533;Q9VXM0	IP21864p;LDL receptor related protein 4, isoform B	Lrp4	7.297	7.141	6.8586	7.0227	7.153	7.1931	7.1851	7.3588
Q9V4C4	Synaptotagmin 7, isoform A	Syt7	7.3055	7.1346	7.3336	7.3008	6.8744	6.9485	7.1038	7.2055
Q7KLW5;Q7KN94	LD07532p (Fragment);Electron transfer flavoprotein subunit alpha	wal	6.9468	7.1415	7.0937	7.3927	7.2894	7.2386	7.1353	6.9505
A1Z6H7	Nuclear pore membrane glycoprotein 210	Gp210	6.9369	7.1504	7.0952	7.211	7.2525	7.3338	7.0953	7.1075
Q8MRF8;Q9VQR8;T2FFJ2	Leucyl-tRNA synthetase;Leucyl-tRNA synthetase;Leucyl-tRNA synthetase	CG33123-RA;LeuRS	7.0796	7.172	7.228	7.1648	7.0671	7.0812	7.1502	7.2381
B5X0K8;Q6NQV8;Q9VHY7	FI04528p;RH15640p;HL04706p	CG31284-RA;wtrw	6.9783	7.1542	7.0673	7.1596	7.249	7.273	7.1182	7.1729
H1ZYG4;Q9VND8	Uncharacterized protein Rheb;GTP-binding protein Rheb homolog	Rheb	7.0534	7.17	7.239	7.2348	7.1489	7.1817	7.1116	7.0312
A8JUY0;Q9W4D2	RNA-binding protein 4F, isoform D;RNA-binding protein 4F	Rnp4F	7.1748	7.0551	7.226	7.1834	6.9939	7.1229	7.1732	7.2197
I0DHK3;P12881	Proteasome subunit alpha type;Proteasome subunit alpha type-1	Prosalpha6	7.3439	7.0899	7.0591	6.9828	7.0634	7.0146	7.4136	7.1694
Q9VH66	FI18258p1	;Dmel\CG8500	6.7808	7.1506	7.2658	7.286	7.3381	7.3335	7.0064	6.9699
Q9VR59;X2JCY0	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase;Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	;l(1)G0196;l(1)G0196-RI;l(1)G0196-RJ	7.053	7.1465	7.2203	7.1693	7.1593	7.1902	7.1322	7.053
Q6NR63;Q9VBX6	RH20440p;FI20018p1	Nepl16	7.0442	7.0193	6.9949	6.8807	7.2693	7.3213	7.347	7.2311
C0P8M5;E1JGV6;H5V894;O44081	MIP05689p (Fragment);Nucleolar protein at 60B, isoform C;FI18403p1 (Fragment);H/ACA ribonucleoprotein complex subunit 4	Nop60B;Nop60B-RC	6.9116	7.2349	7.1778	7.2256	7.2147	7.2282	7.0772	7.0263
A0A0C4FEI4;Q9VMZ9	HL02811p;RE36666p	CG1092;Dmel\CG1092	7.0499	7.2071	7.1323	7.0903	7.2867	6.9718	7.2091	7.1422
A0A0S0WGZ0;M9PHI5;Q8IQ62	Still life, isoform Q;Still life, isoform J;Still life, isoform F	sif;sif-RH	6.8812	7.2072	7.4159	7.3261	7.1591	7.1533	7.0287	6.9176
F0JAN1;Q9I7S8	AIR carboxylase;Multifunctional protein ADE2	Paics	6.9619	7.3286	7.3811	7.446	7.1133	7.1471	6.8856	6.8181
Q7KMQ0	26S proteasome regulatory subunit 7	CG3326;Fign;Rpt1	7.2956	7.2117	6.8755	7.1818	7.1793	7.1669	7.0029	7.1675
Q9VWK6	Post-GPI attachment to proteins factor 2-like	CG7990	6.9807	7.0005	7.8109	7.664	7.1092	7.1317	6.7443	6.6308
D2NUG2;Q9XYZ9	MIP15314p;Glutathione S transferase E12, isoform A	CG16936-RA;GstE12	7.3088	7.2128	7.0851	7.1513	7.0789	7.0827	7.0519	7.0968
Q9W260;Q9XZB7	GH03113p;Wrapper protein	wrapper	7.4846	6.9817	6.8531	6.8418	7.1637	7.1917	7.2508	7.298
P50882;X2JDU0	60S ribosomal protein L9;60S ribosomal protein L9	RpL9	6.8755	7.3078	7.354	7.3225	7.2559	7.268	6.7569	6.909
Q9VKI8	GH03305p	GH26	7.0913	7.1078	7.1732	7.1213	7.1104	7.1625	7.1829	7.099
Q08473	RNA-binding protein squid	sqd	7.2122	7.089	7.078	7.0852	7.2278	7.1828	7.1431	7.0239
D2NUJ7;M9NEX3;Q8IRR0;Q8SY77	LP10562p (Fragment);Uncharacterized protein, isoform D;Uncharacterized protein, isoform B;GEO11431p1	BcDNA:RH45308;CG3566-RB;Dmel\CG3566	7.248	7.0462	6.9892	7.0169	7.1622	7.0902	7.2703	7.2076
C4XVJ5;Q8MR01;Q9VAP3	FI05260p;LP05177p;Choline transporter-like 2	CG11880-RA;Ctl2	6.7144	7.1548	7.1393	7.1614	7.3138	7.3391	7.1494	7.0525
A0A0B4KGP7;F0JAM4;Q04164	Stranded at second, isoform D;RT11164p (Fragment);Putative epidermal cell surface receptor	sas;sas-RB	7.1555	6.8845	7.0962	7.0114	7.2434	7.2379	7.2573	7.1329
Q9I7K3	N-acyl-L-amino-acid amidohydrolase	Dmel\CG6465	7.0445	7.3811	6.8182	7.3406	7.2258	7.273	6.967	6.9671
Q9W1N3	Levy, isoform A	levy	7.1901	6.9672	7.0834	6.9735	7.165	7.0669	7.2308	7.3401
Q9VZF1	GH07444p	Dmel\CG1309	6.9939	7.2399	7.1625	7.1759	7.137	7.1691	7.0536	7.0824
Q9VXR5	LD02975p	CG9281;Dmel\CG9281	7.066	7.134	7.1901	7.2195	6.9767	7.0443	7.1987	7.1789
Q9VB10	GH01709p	Dmel\CG5590	7.1714	7.0819	7.1063	7.1197	7.1294	7.1254	7.1289	7.1376
M9PHS8;Q9VXE7	Uncharacterized protein, isoform C;SD21513p	Dmel\CG9784	6.993	7.1263	7.1772	7.1214	7.1123	7.1507	7.1337	7.16
P22769	Proteasome subunit alpha type-7-1	Prosalpha4	7.0455	7.0825	7.5717	7.413	7.0892	7.1028	6.8922	6.7742
Q0E9M0	Down syndrome cell adhesion molecule 1, isoform BC	Dscam1	7.2271	7.0444	7.2264	7.032	7.0985	7.1347	7.023	7.1757
A0A0B4KHJ9;H1UUJ7;P09491;P09491-2	Tropomyosin 2, isoform E;FI17819p1;Tropomyosin-2;Tropomyosin-2, Isoform Embryonic	Tm2;Tm2-RC	7.6492	7.3877	6.7693	7.1636	6.9527	6.8087	7.0947	7.1317
Q9V3T2	EG:BACR19J1.2 protein	Dmel\CG5254;EG:BACR19J1.2	7.0996	7.1382	7.1657	7.0895	7.0905	7.1006	7.0802	7.1874
Q8MT29;Q9VKC8	RE66761p;FI03495p	Tom70	7.0247	7.2015	7.1793	7.1517	7.1432	7.1933	7.0144	7.0324
A1Z877	Nidogen	Ndg	7.0429	7.2093	7.1032	7.0282	7.2065	7.1858	7.1352	7.0271
Q9VZ20	Dynein light intermediate chain	Dlic	7.1624	7.2881	7.3758	7.3177	6.9641	7.0559	6.9902	6.7757
M9PDI9;M9PDV9;Q0E8N9;Q6Q4F0;Q9VIH7;Q9VIH7-2	Skywalker, isoform L;Skywalker, isoform K;Skywalker, isoform D;CG9339-PH;GTPase-activating protein skywalker;GTPase-activating protein skywalker, Isoform J	sky	6.7049	7.2238	7.2776	7.2413	7.2172	7.2354	7.0842	6.9444
Q8IQ31	Uncharacterized protein	Dmel\CG1695	6.8339	7.0525	7.5139	7.501	7.2036	7.2289	6.8075	6.7859
A8JUZ7;Q9W406;X2JCS0	Uncharacterized protein, isoform B;Uncharacterized protein, isoform A;Uncharacterized protein, isoform C	Dmel\CG15894	7.3105	6.9996	6.9099	7.1839	7.1935	7.1483	7.0193	7.1546
Q9VKW1	LD41958p	Wdfy2	6.8047	7.2839	7.2486	7.2532	7.2236	7.2098	7.0582	6.8374
Q0KHZ6;Q8MR58	Electron transfer flavoprotein subunit beta;Electron transfer flavoprotein subunit beta (Fragment)	CG7834;ETFB	7.0797	7.1094	6.9182	7.4139	7.2659	7.2858	6.9284	6.9174
A0A0B4KEE4;A1Z6Q1	Klaroid, isoform A;Klaroid, isoform B	koi;koi-RA	7.285	8.2364	6.362	7.8641	6.7532	7.3651	7.2376	5.8117
Q9XYZ5	DNA damage-binding protein 1	pic	7.0952	7.2756	7.2161	7.2574	7.0778	6.9793	7.0038	7.0072
M9NF32;Q9V3K7	Leucine carboxyl methyltransferase 1;Leucine carboxyl methyltransferase 1	BG:DS09217.4	7.0404	7.3563	6.4607	7.2296	7.3087	7.3515	7.047	7.1125
Q9VBP9;Q9VBP9-2	Nuclear protein localization protein 4 homolog;Nuclear protein localization protein 4 homolog, Isoform B	Npl4	7.0778	7.0182	7.208	7.1258	7.1435	7.1497	7.0787	7.0996
Q9W5Y0	Neprilysin-3	Nep3;Nep3-RA	7.485	7.0989	7.1059	7.0883	7.2093	7.0038	6.8258	7.0783
C1C3I4;Q6NNE6;Q7JVN6	MIP08194p;RH38183p;GH17672p	;CG1213-RC;CT30783	6.9557	7.2929	7.2228	7.1605	7.1905	7.2266	6.9594	6.8844
E1UIK3;E1UIK4;E1UIK5;E1UIK6;E1UIK7;E1UIK8;E1UIL1;E1UIL2	CG8768 protein;CG8768 protein;CG8768 protein;CG8768 protein;CG8768 protein;CG8768 protein;CG8768 protein;CG8768 protein	CG8768;Dmel\CG8768	7.0655	7.0235	7.0838	7.0415	7.1724	7.2032	7.1327	7.1699
A0A0S0WGX2;Q6NL41	Loss of visual transmission;GH10292p (Fragment)	;lovit	6.8953	7.155	7.1031	7.1465	7.2332	7.242	7.1097	7.0022
A0A0C4DHF6;Q8WR08	Alpha-dystroglycan;Alpha-dystroglycan	Dg	7.3928	6.9766	6.5225	6.85	7.2957	7.3387	7.1526	7.3501
Q9VGT3	GM04645p	Ugt302C1	7.013	7.1764	7.2233	7.1968	7.1075	7.124	7.1204	6.9151
A0A0B4LGT4;Q9VHV5	ADP ribosylation factor-like 8, isoform B;ADP-ribosylation factor-like protein 8	Arl8	6.9714	7.2044	7.1687	7.1313	7.0243	7.0087	7.0969	7.2693
B5RJ70;Q9VP48	FI07640p;Ras-related protein Rab-26	CG32439;Rab26	7.0975	7.0883	7.1021	7.1164	7.1079	7.1337	7.1055	7.1138
A0A0B4LG26;A8DYJ3;Q11002	Calpain-A, isoform D;Calpain-A, isoform C;Calpain-A	CalpA	7.0791	7.0637	7.2197	7.2	7.1221	7.1332	7.0127	7.0303
C9QP57;H5V8E8;Q8IHE3;Q95U00;Q9VDZ7;Q9VDZ8	Mitochondrial import inner membrane translocase subunit TIM44;FI19331p1 (Fragment);Mitochondrial import inner membrane translocase subunit TIM44;Mitochondrial import inner membrane translocase subunit TIM44;Mitochondrial import inner membrane translocase subunit TIM44;Mitochondrial import inner membrane translocase subunit TIM44	CG11779;CG11779-RA;CG11779-RB;CG117799	7.3283	7.0325	7.1161	7.0932	6.8641	7.1696	7.091	7.156
A0A0B4KFX1;A0A0B4LH23;A8YPP4;A8YPQ1;A8YPQ3;E1JGP2;E1JGP9;Q9W2N3;Q9W2N4	RIC3 acetylcholine receptor chaperone, isoform T;RIC3 acetylcholine receptor chaperone, isoform V;Receptor associated protein RIC-3;Receptor associated protein RIC-3;Receptor associated protein RIC-3;RIC3 acetylcholine receptor chaperone, isoform N;RIC3 acetylcholine receptor chaperone, isoform Q;RIC3 acetylcholine receptor chaperone, isoform D;RIC3 acetylcholine receptor chaperone, isoform C	CG30296;RIC-3	6.8332	7.3048	7.2542	7.0799	7.1354	7.2539	7.1933	6.7946
Q9VTB4	NADH dehydrogenase (Ubiquinone) 13 kDa B subunit	ND-13B	7.1823	7.0688	7.0597	7.0145	7.1166	7.0912	7.0796	7.2303
