Protein_id	Protein_description	hrp_1	h2o2_1	hrp_2	h2o2_2	t4_1	t4_2	t5_1	t5_2
A0A0B4LGT2;Q9VHY7	wtrw	7.1201	6.9878	7.0457	7.0516	7.16	6.9496	7.1368	7.1372
A0A0B4KF46;Q8T0L3	Uba1	7.1242	7.0546	7.0435	7.1217	7.1763	6.9324	7.0872	6.9326
Q0KHU2	Imp	7.0961	7.056	6.9768	7.0461	7.0539	7.0522	7.0676	7.0062
Q0E930	BcDNA:GH04922	7.2815	7.1004	7.0354	7.1232	7.3463	6.7572	7.3728	7.3136
M9NE89	Lam	7.1235	7.2728	7.0611	7.2561	6.9506	7.1518	7.0058	6.9948
Q0E8S7	homer	7.2695	7.3022	7.1778	7.2621	7.1839	6.9154	7.2408	7.2389
Q9W260	wrapper	6.9503	6.5204	6.8471	6.783	7.1401	6.9583	7.2118	7.265
Q9VBP6	Ssadh	7.3064	7.3077	7.2517	7.2582	7.1295	6.9662	7.1574	7.159
Q9VMD5	frj	7.2055	7.1517	7.0827	7.1583	7.2998	6.7949	7.3165	7.3285
A0A0B4KH39;E1JIS7;Q24210	CASK	7.0513	7.0955	7.0847	7.0566	7.0727	7.0201	7.0779	6.9999
Q9VRE0	Stt3A	7.2164	7.0749	7.1078	7.1523	7.3164	6.7743	7.3363	7.2522
A1Z9M2	ReepB	7.316	7.0538	7.1386	7.1498	7.4119	6.6771	7.4037	7.4024
A0A0B4KH25	His2A:CG33859;His2A:CG33865;His2Av	6.8511	6.835	6.7219	7.0197	6.8074	7.2802	6.8387	6.7924
A0A0B4KGC3	CG13530;CG3536;dmCNG4;Dmel\CG42260	6.8103	6.7214	7.0966	6.8086	7.0002	7.0869	7.1138	7.072
Q5BI31	Alms1a	7.3469	7.5111	7.2546	7.581	6.6615	7.4241	6.803	6.9221
A0A023GPK8;M9NCR3	fred	6.7982	6.6948	6.8092	6.6969	7.1181	6.9627	7.1677	7.1781
Q8IN49	Dmel\CG31195	6.5645	6.3939	6.6969	6.4621	7.0751	7.0053	6.6005	6.6778
A0A0B4K6N1	RpS8	7.2756	7.2081	7.1592	7.2084	6.9152	7.165	7.0386	6.9326
Q9XYZ5	pic	6.9679	7.1128	7.0862	6.9277	7.0825	6.9956	7.096	7.0891
M9PCE7;M9PEZ6	BcDNA:SD10385	7.1831	7.0534	7.054	7.062	7.2326	6.8448	7.2641	7.2491
Q9V431	cass	7.1115	6.8752	6.9639	6.9477	7.0638	7.0135	6.9759	6.8027
Q8MRL3	Dmel\CG9663	7.109	7.059	7.0328	7.1095	7.2085	6.8675	7.2211	7.2103
Q9W552	Vps26	7.1741	7.1038	7.0612	7.1743	7.1619	6.914	7.1716	7.1637
Q7KUL1;Q9VUG1	dlp	6.7919	6.3683	6.7114	6.4958	7.1078	6.9643	7.1319	7.1206
A8JNX5	nAChRalpha4	7.1068	6.9091	6.9642	6.9592	7.2261	6.845	7.2309	7.3091
A1Z713	Vps13	7.1732	7.1082	7.0671	7.151	7.1941	6.8769	7.1887	7.1894
Q9V3Y4	Mtch	7.1698	7.1435	7.0597	7.1287	7.1437	6.925	7.1255	7.1388
Q9W257	BcDNA:RH44966	6.8594	6.3355	6.5259	6.3401	7.0568	7.0119	6.9796	7.0748
Q9VSA3	CG12262	7.0102	7.1772	7.1465	7.1547	6.9791	7.0881	7.0021	6.9398
A1Z8P9	Mtor	6.9146	6.9745	7.0576	6.9418	7.0507	7.0092	7.0188	6.9709
Q7KW39;Q7KW39-2	CG17896	7.0512	7.1227	7.0331	7.058	6.9462	7.1122	6.9543	6.9064
O44386;O44386-2	scb	6.8251	6.5137	6.7107	6.6633	6.9813	7.0748	7.0027	7.0454
Q9U6P7	Syt4	7.0558	6.9051	6.6271	7.0181	7.0933	6.9627	7.1259	7.0854
M9ND00;M9PBF6;M9PDC7;Q1WWC9;Q8INU2;Q9VIF7	Dap160	7.0615	7.0789	6.9786	7.0583	7.0759	6.978	6.9955	6.9073
Q94901	lark	7.0914	7.0908	7.0575	6.8764	6.9293	7.1219	6.9515	6.8815
Q9V9E3	CG3107	7.1137	7.1612	6.9116	7.184	6.9909	7.0577	7.0257	6.9781
Q9U4L6	Tom40;tomboy40	7.1524	7.2215	7.0776	7.2216	7.1824	6.8617	7.2377	7.1531
Q9VN25	eIF3a	6.9601	6.9088	6.7387	6.8028	7.027	7.0149	6.9671	6.7802
Q9V3N6	TM9SF4	7.0083	6.9871	6.8796	6.9759	6.999	7.0417	7.0019	6.9612
Q9VX35;X2JFW6	CC4;Dmel\CG8289	7.1411	7.206	7.1042	7.0763	6.7567	7.2827	6.7735	6.7001
Q7K148	Prosbeta5	7.1511	7.2021	7.0658	7.2458	7.0674	6.9697	7.1375	7.0919
Q9W1J0	GlyT	7.036	7.0036	7.0047	6.8992	7.1787	6.8575	7.1371	7.1531
Q9VEG9	nrm	7.3782	7.2744	7.2641	7.2921	7.4117	6.6225	7.4371	7.4367
C7LAE4;E1JJ68;P19109;P19109-2	Dmel\CG7878;Rm62	7.034	7.0362	6.9521	6.9811	6.9146	7.1183	6.9391	6.7973
Q00174	LanA	7.2307	7.0497	7.1666	7.012	7.1117	6.9204	7.155	7.2227
A0A0B4JCX2;A0A0B4JDC9;A0A0B4KGQ6;A0A126GUV2;E1JIL7;Q86BS0;Q9VF66	Rbp	7.0542	7.1175	6.9033	7.0529	7.0517	6.9802	7.0694	7.0175
A0A0B4LHX6;P08879	awd	7.0817	7.2671	7.0248	7.1775	6.9728	7.059	7.0611	7
M9PCA7;M9PI37	Ncc69	7.1477	7.1415	7.1306	6.7821	7.0512	6.9793	6.9751	7.0836
P23380	Vha16-1	7.3371	7.166	7.1847	7.0947	7.3038	6.7261	7.2997	7.3081
E1JHQ0	galectin	7.0192	7.0468	6.9505	7.0724	7.033	6.9936	7.0598	7.0615
A8DY95	Dmel\CG11883	7.1344	7.1207	7.0324	7.056	7.0396	6.9852	7.0213	6.9305
P12080;P12080-2	if	6.9049	6.7792	6.8468	7.0526	7.0613	6.9634	6.9871	7.0358
Q9VBN7;Q9VBN7-2	CG4743	7.0828	6.8162	6.8919	6.8959	7.2262	6.798	7.1841	7.2167
M9MSL3;Q9VUC1	Hsc70Cb	7.1135	7.1112	7.0403	7.1273	7.0301	6.9936	7.0346	6.95
Q8IPY3;Q9VQ61	Got2	7.138	7.1274	7.0521	7.131	6.9692	7.0541	6.9302	6.8552
A0A0B4LFU5;A0A6M3Q6Z1;A0A6M3Q7F3;Q8IGJ0;Q8IGJ0-1;Q8IGJ0-3	stmA	7.1501	7.0915	7.0905	7.0893	7.166	6.854	7.1932	7.1695
Q9VB25;Q9VB25-2	Klp98A	7.147	7.1133	6.852	7.0468	6.9461	7.068	7.0126	6.872
Q9Y109	Nulp1	7.31	7.239	7.203	7.2383	7.2865	6.7265	7.2662	7.2087
Q9VQQ0	Ptpa	6.8558	7.1695	6.9382	6.9419	6.9422	7.0698	6.8899	6.8135
Q9W4V8	ttm50	7.0258	6.7825	6.8336	6.944	6.9381	7.0731	6.9881	6.8673
A8JUW5;R9PY25	na	7.0417	6.9122	6.9175	6.9653	7.0767	6.9328	7.0932	7.0642
P22465	AnxB10	6.9233	6.8856	6.693	7.022	7.0797	6.9284	6.9409	6.775
Q8MMD0	BcDNA:RH04491	7.0578	6.954	6.9728	6.9598	7.1951	6.8127	7.1511	7.2301
A8JQV3	Dmel\CG17816	6.9632	7.0331	6.9431	6.9945	6.999	7.0055	6.9429	6.6385
Q9W5E4	Mybbp1A	7.0473	7.0704	6.9237	7.0292	6.9846	7.0198	7.0245	6.9062
Q7K084	Obp44a	6.557	6.4585	6.497	6.5814	6.9984	7.0056	6.704	6.4333
Q23978	Myo31DF	6.7957	7.1107	7.1135	6.4788	6.9535	7.0505	7.0348	6.8836
Q95083	Prosalpha5	6.9808	7.0689	6.8846	7.0396	6.9278	7.0751	7.0025	6.8842
P04755	nAChRbeta1	7.0798	6.7123	6.9299	6.9423	7.0317	6.9683	7.0858	7.1666
A0A0B4LGM0;A0AVW1;B7YZQ3;Q8MLN9	prom	7.2054	7.3414	7.1845	7.4037	6.9747	7.0218	6.9236	6.9426
Q9VD51	pit	6.9558	6.7766	7.1584	6.9471	6.9195	7.0769	6.8769	6.8645
B7Z001;Q9VQL7	FASN1	7.102	7.0049	7.0497	7.1018	7.0826	6.9134	7.0492	7.0096
P17336	Cat;Dmel\CG9314	7.1421	7.0451	7.0846	7.1995	6.8356	7.1602	6.8779	6.7948
Q9VN12	CG1090	7.3752	7.0699	7.2476	7.1978	7.2895	6.7053	7.314	7.3275
Q9VMU4	RpL37A	6.9212	7.0233	6.8233	7.0516	6.999	6.9957	7.0553	6.9618
Q9V447	Kr-h2	7.093	7.0717	6.9635	7.0144	7.0726	6.9204	7.1067	7.0586
Q9VME3	Nepl5	6.8834	6.353	6.331	6.6992	7.1066	6.8849	7.0671	7.0423
Q9VGG5	Cad87A	6.8529	6.7754	6.7684	6.8703	6.8614	7.1279	6.8307	6.8146
A0A0B4KHL4	Dmel\CG2577;gish	7.0812	7.0885	7.0315	6.8965	6.9718	7.0163	6.9522	6.9215
Q9W5X0	Rab35	7.1792	7.1613	7.0491	7.0664	7.1736	6.8134	7.2032	7.1951
Q9VMN9	DIP-eta	6.7081	6.1264	6.4284	6.5531	6.809	7.1774	6.8953	6.7604
P81900	Pka-R2	6.952	7.0956	7.1816	6.6826	7.0084	6.9746	7.0134	6.9712
E1NZB4;Q9VYI0	fne	6.697	7.0413	6.9974	6.4393	6.9529	7.03	6.9875	6.8982
P21187	pAbp	6.8903	6.9802	6.9451	7.0149	6.9808	7.0018	6.9679	6.8109
A1ZBB4;A8E6M1;E1JGL8	CG5477;Dmel\CG30122;hnRNP U	7.1473	6.9948	7.1282	7.0356	6.8879	7.0922	6.8846	6.8007
Q8SYG2	CSN3	7.0898	7.1218	7.3107	6.7722	7.0949	6.8833	7.1203	7.0459
Q07093	Gycalpha99B	7.0426	6.9965	6.9641	6.9809	7.0488	6.9287	7.0113	6.9291
Q24524	sn	6.9788	7.0903	7.0516	7.0524	6.8952	7.0802	6.9189	6.8959
Q9V3G7	Rpn7	7.0479	6.9537	6.9575	7.0516	7.1733	6.8021	7.1531	7.1085
Q9VWN5	mindy3	6.7934	6.9053	6.9998	6.7674	6.9954	6.9793	7.0008	6.9118
H9XVP2;Q8IM86	unc-13	7.1022	7.0659	7.0042	6.9393	7.0652	6.9001	7.0532	7.0094
M9PDM4;Q9W4X4	Pi4KIIIalpha	7.1021	7.052	7.0251	7.0191	7.0851	6.8776	7.0655	7.0142
Q9VVX5	nes	6.8114	7.0181	6.7577	6.7405	7.0568	6.9059	7.1088	6.6535
A1Z6H7	Gp210	7.0158	7.0602	7.0537	6.9271	7.0984	6.8627	7.1242	7.0874
A1ZAA5;Q7K221	Got1	7.1551	7.1985	7.1505	7.1417	7.0772	6.8805	7.1046	7.111
Q9VXB0	CG9132;Dmel\CG9132	7.1772	7.2548	7.1051	7.1987	7.0584	6.8987	7.13	7.1497
A0A0B4K6P4;A0A0B4K6W9;A0A0B4LHY1;A8JRI1;Q7KES3;Q7KRS7;Q8IMF8;Q8WR53;Q95UI6	heph	6.9876	7.0626	6.8714	6.9884	6.9748	6.9808	7.0009	6.8715
Q9VMT5	Cyp28d1;Cyp28d2	7.1847	7.1047	7.1581	6.8801	6.9944	6.9604	7.0473	7.065
Q9VW59	RhoGDI	7.1076	7.3036	7.0699	7.2672	6.9554	6.9989	7.023	7.0164
A0A0B4KGU3;P09478	nAChRalpha1	7.2631	6.9799	7.088	7.0616	7.3336	6.619	7.3672	7.4205
A0A0B4LG05;P25823	tud	6.836	7.1205	7.0215	7.1828	7.0198	6.9318	7.053	7.0067
F0JAN1;Q9I7S8	Paics	7.2371	7.0885	7.0907	7.1469	7.1284	6.8225	7.165	7.0912
A8DYJ6;A8DYJ7;B7YZM1	side-VIII	6.7801	6.5149	6.8515	6.3847	7.128	6.8129	7.0412	7.1594
A0A0B4KGN2;P91928	Mitofilin	7.1268	7.1217	7.0392	7.0737	7.0487	6.8909	7.0312	7.0048
P07668;P07668-2	ChAT	7.0929	7.0408	6.9594	7.0709	6.9951	6.9415	7.0469	6.9906
Q9VZ49	CG2145	6.5632	6.7518	6.7439	6.5687	6.9822	6.9535	6.8711	6.836
M9PAZ4;Q59E11;Q9VPV8	IA-2	6.9571	6.9483	6.9718	6.6452	7.0742	6.8603	7.1388	7.1186
A8JNU6	CG18170;CG32316-ORFB;Ogdh;OGDH	6.9179	6.9069	6.8194	6.8682	6.8279	7.1066	6.9	6.8011
P46222	RpL11	7.1886	7.2137	7.0837	7.2224	7.1351	6.799	7.2167	7.1147
Q9XZJ4	Prosalpha1	7.0338	7.1467	6.9863	7.1062	6.9021	7.0318	6.9889	6.9118
P11584;X2JE30	mys	6.5989	6.3911	6.6885	6.4081	6.9791	6.9533	6.9583	7.029
X2JDU0	RpL9	7.0446	7.0752	7.0039	7.1018	7.0394	6.8928	7.084	7.0226
Q9W3M8	Ykt6	7.2803	7.2768	7.1943	7.2255	7.0073	6.9242	7.1297	7.1118
P41374	eIF2alpha	6.95	7.0362	7.0495	6.9008	7.1072	6.8238	7.1244	7.0439
A4V2A4	mub	7.1662	7.115	7.0921	7.0886	7.063	6.868	7.008	6.8938
Q9VXZ0	ND-B18	7.0562	7.4013	7.0802	7.0722	6.9542	6.9764	7.0523	7.0153
A0A0B4K6S8;Q9VNA2	mtd	7.0601	7.0721	6.9748	7.0473	7.0155	6.9149	6.9744	6.9378
Q7KMQ0	Rpt1	6.9426	6.8412	6.8896	6.9249	6.9857	6.9443	6.8743	6.7524
M9PBB5	vas	7.0489	7.2429	6.9935	7.387	6.5396	7.3886	6.5811	6.6855
Q9VR07	ine	7.1524	7.0536	6.9813	7.0406	7.0888	6.8387	7.087	7.0866
E2QD26	Ppcs	6.8371	7.007	6.9032	6.5787	7.1606	6.762	7.1678	7.1304
Q9VVU1	GH07925p	6.884	7.0909	6.968	6.8535	6.8375	7.0846	6.9124	6.8406
A0A0B4LEX6;A1Z920;A1Z921	fra	6.6239	6.7014	6.7622	6.578	6.9412	6.9788	6.9114	6.9253
Q9VWE6	Elys	6.9925	7.0204	6.9348	6.9655	6.9812	6.9386	7.0135	6.9603
A8DY43	Dmel\CG43795	6.8876	6.5933	6.8007	6.5723	7.0868	6.8327	6.9231	6.9702
A1ZBE9	MetRS	6.8008	6.9112	6.9771	6.646	6.8906	7.0288	6.8238	6.7187
Q9W415	wuho	6.9498	7.0178	6.9523	6.8582	6.873	7.0461	6.7311	6.7532
P04359;P04359-2	RpL32	7.0134	7.0333	6.8691	7.1041	6.9498	6.9687	7.0545	6.9232
C0HK92	CG45076;CG45078;Dmel\CG46298	6.9367	6.7762	6.8674	6.987	7.1683	6.7496	6.972	7.0494
A0A0C4DHF6;Q8WR08	Dg	6.8258	6.4766	6.626	6.6968	7.0755	6.8415	7.0685	7.054
Q8SX37	Pis	7.5921	7.4574	7.4183	7.425	7.6227	6.2934	7.6572	7.6639
A0A0S0WGZ0;M9PHI5;Q8IQ62	sif	6.9406	7.1223	7.0095	6.8995	7.013	6.9026	7.0892	7.0589
P62152	Cam	6.6853	6.5345	6.5652	6.6307	6.721	7.1933	6.7148	6.6484
Q9VRN1	TM9SF3	6.9682	6.9861	6.8862	6.9279	6.9774	6.9296	7.0208	6.9043
Q9VTT3	ssp	7.2777	7.3902	7.0905	7.4871	6.5437	7.3622	6.6585	6.7092
Q9VZX9	AhcyL1;AhcyL2	7.1428	7.11	7.0123	7.1124	7.1057	6.8001	7.1493	7.1545
Q32KD3;Q7KSW1	Dmel\CG2747	6.2687	7.0095	6.8532	6.9474	6.8453	7.0604	6.8843	6.7157
E1JJR2;Q9VWI9	nAChRalpha7	7.1701	6.6577	6.8672	6.8855	7.2376	6.6677	7.3349	7.3832
P05990	r	6.9611	6.9724	6.8442	6.9608	6.9256	6.9778	6.9353	6.8353
Q8MLV1;Q8MLV1-2	LBR	7.0142	6.9559	6.912	6.6981	7.0298	6.8717	7.0471	7.0631
Q59E14	CT35363	6.8383	6.7802	6.7405	6.8039	6.9647	6.936	7.0106	7.0134
M9MRH0;Q9VKU8	RluA-2	7.4763	7.5418	7.448	7.3799	7.0183	6.8812	7.0341	7.0898
A0A0B4LEH1;A1Z7J1;Q0E9F2	sns	6.9739	6.3507	6.7265	6.7475	7.1292	6.7685	7.1562	7.1703
Q9VJZ4	ND-B22	7.1976	7.2839	7.1046	7.2182	6.9969	6.8956	7.0514	6.9966
Q0E8B8	nrm	6.8303	6.5673	6.7074	6.5182	7.0378	6.8529	7.1997	7.2834
P17704	RpS17	6.8847	7.0185	6.81	7.0486	6.8343	7.0563	6.9111	6.7475
Q9VZ20	Dlic	6.969	7.0658	6.8693	7.0603	6.9327	6.9555	6.9755	6.8622
Q3YMU0	ERp60	7.1081	7.0682	7.1543	7.0376	6.9438	6.9433	6.8762	6.8707
Q8SY53	Ostgamma	6.9944	6.9079	6.9145	6.9514	7.103	6.7811	7.1185	7.0986
Q0E8H7	SP1173	7.0699	6.4562	7.0083	6.7606	7.1899	6.6928	7.1243	7.3273
Q9VAX8	Dmel\CG4849	6.9851	7.0155	6.8765	7.0572	6.9979	6.884	7.0516	7.0009
Q7KN74	Ttc7	6.7903	7.0458	7.0444	6.8532	7.0633	6.818	7.1064	7.0528
Q27571;Q27571-2	Nos	7.0204	6.954	6.9459	6.9966	7.0353	6.8457	7.0224	7.0162
Q9VDU9	ort	6.8558	6.6156	6.8597	6.8554	7.2137	6.6647	7.1112	7.2224
Q0KIF4;Q8IMC2;Q9V4E5	Eph	7.1118	6.7722	6.8677	6.8664	7.2656	6.6093	7.3205	7.3445
Q8SZM2	Vajk2	6.8891	6.9933	6.9274	6.7805	6.6253	7.2483	6.5851	6.8007
Q9V4E0	ND-49	6.785	7.0401	6.9115	6.7617	6.7565	7.1097	6.5397	6.5002
Q9W1F5	Dmel\CG3803	7.0051	6.8695	6.8413	6.8161	6.9892	6.8714	6.9848	7.0241
P17210	Khc	7.0522	7.0706	6.9963	7.0649	7.0491	6.8107	7.0363	6.9504
A0A6H2EFX8;P91938;P91938-2;P91938-3;P91938-4	Trxr-1;Trxr-2	6.9565	6.9361	6.9248	6.8977	6.9834	6.874	6.9748	6.9151
A1Z8U0	Prp8	6.9635	6.9701	6.9385	6.9716	7.0556	6.8001	7.0888	7.0378
Q9W541	eIF2Bepsilon	7.0401	7.0375	6.9763	7.0047	6.9562	6.8972	6.9795	6.9012
P49630	RpL36	7.1427	7.1106	6.8678	7.1186	6.8606	6.9916	6.939	6.8858
B7YZF6	ATP8A	6.8165	6.8997	6.9504	6.4974	6.9414	6.9108	6.967	6.9689
Q9VC05	Osbp	7.0284	7.0678	6.9736	7.0841	7.0144	6.8344	7.0644	7.0362
Q7KSC4	Mpc1	7.2358	7.1699	7.0251	7.1782	7.1541	6.6947	7.2183	7.1917
Q09332	Uggt	7.1133	6.9852	6.9946	7.0076	7.1104	6.7382	7.1472	7.0462
Q9W3X7	ND-ASHI	7.0851	6.9591	6.9255	6.9143	6.9441	6.9044	6.9463	6.953
P08646	Ras85D	6.9972	7.0466	6.9058	7.0287	7.0224	6.8249	7.0667	7.0081
Q9W5G7	Dmel\CG13375;EG:BACR37P7.8	7.0524	7.0899	6.9937	7.0857	6.897	6.9502	6.9913	6.966
Q9VL69	CK01296	7.2074	7.1458	7.0716	7.1676	7.3029	6.5436	7.3029	7.2409
Q9VKI8	GH26	6.964	7.0103	6.9353	7.0099	6.8935	6.952	6.8695	6.7752
Q9VY87	CtsB	6.8865	6.8636	6.9658	6.8384	6.7768	7.0685	6.8243	6.6485
Q9VVH9	Oatp74D	7.0121	6.9021	6.8672	6.9127	7.0438	6.7953	7.0347	6.9695
P55828	RpS20	7.0244	7.0898	6.9492	7.126	6.9095	6.9288	6.9836	6.8582
A0A0B4LGH8;Q9W1D9	Dmel\CG3860	6.9925	7.0402	6.9074	7.0415	6.9536	6.8834	6.9428	6.8671
A0A0B4KG81;A1ZBE8	CG15099;Dmel\CG15099	6.934	6.8266	6.8462	6.9228	6.9709	6.8633	6.9642	6.8909
Q8IPT9;Q8IPU0;Q9VP68	Dmel\CG10512	6.7754	7.0647	6.8174	7.1423	6.7802	7.0529	6.8423	6.7964
A1ZBJ2	cg7461	7.0982	7.1942	7.0324	7.1662	6.8923	6.9403	6.945	6.9269
Q9VQE0	Drp1	6.9208	7.0317	7.0148	6.8579	7.0058	6.8265	6.9261	6.8744
Q9W402	ND-B16.6	7.0479	7.1727	6.8743	6.9719	6.8045	7.0254	6.7662	6.767
Q7K486	CG5721	6.8899	6.7998	6.8357	6.8933	7.0411	6.7874	6.8988	6.6736
Q7KGH1	wun2	6.4743	6.9414	6.8244	6.3196	6.903	6.9251	6.8749	6.8432
Q9W2P2	Dmel\CG15651	7.0823	6.8722	7.078	6.9456	7.1544	6.6721	7.2242	7.0598
M9PEB5;Q9VRW2	AMT;Dmel\CG10226	7.1107	7.0803	7.0553	7.0727	7.0494	6.7741	7.1002	7.1698
Q7KVB1;Q9W0C5	ABCB7	6.7954	6.8365	6.7357	6.7353	6.9328	6.8897	6.9542	6.9619
Q9VUY1	ClC-c	6.7104	6.7761	6.8781	6.7991	6.7809	7.0406	6.8311	6.75
A4V3W1;A4V3W2	sgg	6.7831	6.9292	6.8689	6.9505	6.9354	6.8851	6.894	6.8707
A0A6H2EG56;P06754-2;P06754-5	Tm1	7.0382	7.1376	6.9781	7.1349	7.0081	6.8088	6.9988	7.0002
A0A0S0X7U5;A0A1Z1CGX2;A0A1Z1CSK9;M9PEM6;Q9VXY2	Rab3-GEF	6.9288	6.8962	6.859	6.8992	6.8587	6.9579	6.8489	6.8166
Q9VYQ9	Tango4	6.8474	7.1195	7.0588	6.6427	7.0338	6.7827	6.8864	7.035
Q9VDF4	Cortactin	7.1792	7.3052	7.1247	7.2464	6.818	6.9979	6.785	6.8167
Q9W3D3-2	Crag	6.9154	6.9114	6.9019	6.7143	6.9705	6.8433	6.9752	6.89
A0A0B4KHT5	Syp	6.9361	6.7919	6.7057	6.8746	6.9574	6.8563	6.8565	6.7253
P40946	Arf51F	7.1445	7.215	7.037	7.0829	7.0487	6.7635	7.0941	7.0988
M9PFM5;M9PFS6;P25439;P25439-2	brm	6.853	6.9628	6.9011	6.8307	6.9458	6.8656	6.9307	6.9059
Q9V483;X2J9E1	unc-13	6.8314	6.7822	6.7963	6.6546	6.8735	6.9361	6.5902	6.754
Q9VBU8	Nup37	7.0722	6.9449	6.9391	6.9497	7.0537	6.7532	7.0695	7.0782
Q9VW66	BcDNA:RH69723;Dmel\CG7646	6.8567	6.781	6.761	6.815	6.9248	6.8799	6.8744	6.9739
Q9W0Y6	pain	6.984	6.9198	6.9837	6.7828	7.04	6.7643	7.0422	7.068
Q9VAD4	eIF2Balpha	6.9321	6.906	6.7405	6.8048	7.0304	6.7714	7.0638	6.8964
Q9VD55	Cchl	6.9203	6.5522	6.7724	6.717	6.9142	6.8869	6.8037	6.7288
Q8IPB7;Q9VKV1	LManII	6.9955	6.8269	6.9551	6.8136	6.8851	6.9147	6.9189	6.8246
P35220	alpha-Cat;Dmel\CG10734	6.8884	6.8469	6.8048	6.8815	6.8927	6.9057	6.803	6.6906
A8JNJ6;M9PBL6;Q7KV69;Q7KV70;Q9VZQ3	kst	7.04	6.9404	6.9303	6.9842	6.8115	6.9867	6.7503	6.772
Q7KVD1	trio	6.776	6.7914	6.8279	6.4877	6.8726	6.9253	6.8641	6.7803
P18824;P18824-2	arm	6.9197	6.8561	6.8348	6.8855	6.9204	6.8748	6.9259	6.8514
Q9V3Q9	GABA-B-R1	7.0748	6.9007	6.938	6.9888	7.1226	6.6696	7.0984	7.157
A1ZB92	BcDNA:GH04922	6.8026	6.7801	6.6257	6.7102	6.7355	7.0552	6.8063	6.7027
D0UGE6	tnc	6.6409	6.3067	6.5526	6.3613	6.9584	6.8313	6.8805	6.9489
Q9VFU7	side-IV	6.8094	6.7002	6.6865	6.7642	6.7519	7.0345	6.79	6.7639
Q9V7Y2	Sply	7.0618	6.9035	6.948	6.9383	7.0544	6.7314	7.0398	7.0855
Q7K569	Gpo1	6.9858	7.0189	6.9457	6.9815	6.8966	6.8884	6.9119	6.8855
Q9VLV5	SmE	7.1455	7.3047	6.9409	7.3601	6.4496	7.3327	6.6128	6.6628
A0A0B4KG69;Q9VF92	ear	6.8274	7.0684	6.7425	6.7496	6.41	7.3705	6.3055	6.482
E1JHD6	bsk	7.1069	7.0159	6.9263	7.0174	6.9974	6.783	7.0464	6.9437
Q86B61	Tbh	6.7466	6.8419	6.7453	6.1504	6.6606	7.1189	6.756	6.7757
M9PCI6;Q9VQW7	ed	6.9051	6.8351	6.7538	6.8888	7.0212	6.7575	7.0818	7.099
Q9W0Z5	Atf-2	6.7597	6.6232	6.7428	6.6815	6.741	7.0345	6.8352	6.8019
Q7PLL6	l(3)80Fj	6.8598	6.8662	6.9231	6.6995	7.0001	6.7727	6.9971	6.9078
A0A0B4KF06;Q0E993	ValRS	6.8916	6.8754	6.7913	6.8752	6.9105	6.8602	6.8868	6.7571
P23226;P23226-3;Q8IMF5	Map205	6.9278	6.9569	6.7877	6.9397	6.9558	6.8145	6.9385	6.8303
A8QI20	Dmel\CG41561	7.2416	6.9827	7.095	7.0616	7.2543	6.5142	7.1942	7.3646
Q8T3U2	RpS23	6.8124	7.0146	6.9008	7.0333	6.8696	6.8987	6.8986	6.858
Q9VB96	CT19744;Dmel\CG31075	6.749	6.9405	6.9275	6.736	6.8642	6.9041	6.9177	6.83
P61209	Arf79F	6.9543	6.9164	6.7929	6.9635	6.8721	6.8952	6.963	6.8952
P12252;P12252-5	dnc	6.9028	6.9224	6.8456	6.905	6.7686	6.996	6.7815	6.7139
Q24439	ATPsynO	7.1719	7.1864	7.0765	7.1743	6.9126	6.8511	6.9466	6.9417
Q9VA37;Q9VA37-2	dj-1beta	7.2672	7.3688	7.2174	7.2864	6.9466	6.8161	7.1322	7.1174
Q95T12;Q95T12-2;Q95T12-3	fwe	7.0423	6.9889	7.2794	5.6406	6.8773	6.885	6.8337	6.9333
Q9VPR1	Tspo	7.0473	6.937	6.7979	6.4295	6.8823	6.8797	6.9088	6.8736
P37236	Frq1;Frq2	6.8553	6.6581	6.6966	6.7501	6.857	6.9048	6.7434	6.6562
Q0KHV9;X2JAH8	rg	6.8563	6.8108	6.7703	6.8017	6.9547	6.8068	6.9824	6.9753
Q9VZE4	cg1316	6.9425	6.7888	6.856	6.8775	6.9964	6.7638	7.0067	6.9302
Q7KRW8;Q7KRW8-3	CG1646	6.9272	6.8226	6.3311	7.0375	6.7957	6.9625	6.759	6.6421
A8JR25	Fas1	6.714	6.1803	6.3171	6.4403	6.9777	6.7802	6.9177	6.9478
A0A6F7UQK0;E1JHJ9;Q9VJE5;Q9VJE5-2	CLIP-190;Dmel\CG31465	7.2508	7.2748	7.2115	7.2381	6.9613	6.7951	6.9613	7.0502
Q24020	fliI	6.9213	6.8815	6.8512	6.8967	6.9748	6.7811	6.9806	6.9206
Q7K0W1	Dmel\CG8531	6.844	6.8546	6.7728	6.8367	6.916	6.8375	6.9371	6.9132
Q02645-3	hts	7.0369	7.0688	6.8736	7.0048	7.0861	6.6673	7.0747	7.077
Q9VDH3	Ktl	6.9898	7.0023	6.9245	6.992	6.776	6.9755	6.8408	6.8299
Q9VUH1	ome	6.2661	6.652	6.8021	5.8376	7.0518	6.6982	6.9364	6.9977
Q94524	Dlc90F	6.9068	6.9005	6.6963	7.0079	6.7461	7.0032	6.858	6.7625
Q9VF45	Dmel\CG5404	7.0544	6.9906	6.9575	7.0825	7.1094	6.6393	7.1152	7.1463
