Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD
UP000054721	Trichinella nativa	6335	16771	C:69.1%[S:44.1%,D:24.9%],F:0.7%,M:30.3%,n:3131	Unknown
UP000054776	Trichinella spiralis (Trichina worm)	6334	18572	C:68.5%[S:37.7%,D:30.8%],F:0.7%,M:30.8%,n:3131	Unknown
UP000054783	Trichinella patagoniensis	990121	18337	C:66.4%[S:39.1%,D:27.2%],F:1.0%,M:32.6%,n:3131	Unknown
UP000054815	Trichinella pseudospiralis (Parasitic roundworm)	6337	14914	C:62.4%[S:40.9%,D:21.5%],F:2.1%,M:35.4%,n:3131	Unknown
UP000054843	Trichinella papuae	268474	15285	C:65.2%[S:40.5%,D:24.7%],F:0.5%,M:34.3%,n:3131	Unknown
UP000054924	Trichinella sp. T8	92180	18039	C:68.9%[S:43.4%,D:25.6%],F:0.4%,M:30.7%,n:3131	Unknown
UP000055024	Trichinella zimbabwensis	268475	18195	C:64.5%[S:41.3%,D:23.2%],F:0.8%,M:34.7%,n:3131	Unknown
UP000055048	Trichinella murrelli	144512	17983	C:67.4%[S:42.0%,D:25.4%],F:0.6%,M:31.9%,n:3131	Unknown
UP000070412	Sarcoptes scabiei (Itch mite) (Acarus scabiei)	52283	9170	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:2934	Standard
UP000075809	Trachymyrmex zeteki	64791	14302	C:89.5%[S:89.4%,D:0.1%],F:2.5%,M:8.0%,n:5991	Standard
UP000076408	Anopheles stephensi (Indo-Pakistan malaria mosquito)	30069	11765	C:96.1%[S:95.7%,D:0.4%],F:1.1%,M:2.8%,n:3285	Standard
UP000076502	Dufourea novaeangliae (Sweat bee)	178035	11355	C:85.4%[S:85.2%,D:0.1%],F:3.3%,M:11.4%,n:5991	Standard
UP000076858	Daphnia magna	35525	26600	C:92.1%[S:91.0%,D:1.1%],F:3.7%,M:4.2%,n:1013	Unknown
UP000078046	Intoshia linei	1819745	8720	C:50.1%[S:49.4%,D:0.7%],F:6.9%,M:43.0%,n:954	Unknown
UP000078541	Trachymyrmex septentrionalis	34720	131	C:0.1%[S:0.1%,D:0.0%],F:0.1%,M:99.8%,n:5991	Standard
UP000079169	Diaphorina citri (Asian citrus psyllid)	121845	21517	C:87.0%[S:66.6%,D:20.4%],F:6.3%,M:6.7%,n:2510	Outlier (high value)
UP000079721	Erinaceus europaeus (Western European hedgehog)	9365	27629	C:94.9%[S:67.3%,D:27.6%],F:2.0%,M:3.1%,n:12234	Standard
UP000081671	Dipodomys ordii (Ord's kangaroo rat)	10020	26567	C:93.9%[S:69.0%,D:24.9%],F:3.4%,M:2.7%,n:13798	Outlier (high value)
UP000085678	Lingula unguis	7574	34415	C:98.6%[S:55.0%,D:43.6%],F:0.6%,M:0.7%,n:954	Unknown
UP000087266	Salmo salar (Atlantic salmon)	8030	82400	C:97.9%[S:34.5%,D:63.4%],F:1.5%,M:0.6%,n:3640	Outlier (high value)
UP000092124	Neotoma lepida (Desert woodrat)	56216	24274	C:59.3%[S:58.7%,D:0.6%],F:11.3%,M:29.4%,n:13798	Outlier (high value)
UP000094527	Orchesella cincta (Springtail) (Podura cincta)	48709	20218	C:89.7%[S:85.0%,D:4.7%],F:3.9%,M:6.3%,n:1013	Unknown
UP000095285	Loa loa (Eye worm) (Filaria loa)	7209	12226	C:94.0%[S:92.7%,D:1.3%],F:1.2%,M:4.7%,n:3131	Standard
UP000186698	Xenopus laevis (African clawed frog)	8355	59476	C:97.7%[S:23.3%,D:74.4%],F:0.5%,M:1.8%,n:5310	Unknown
UP000186922	Ramazzottius varieornatus (Water bear) (Tardigrade)	947166	22940	C:85.0%[S:80.7%,D:4.3%],F:2.3%,M:12.7%,n:954	Unknown
UP000189704	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	1868482	30271	C:86.3%[S:58.8%,D:27.5%],F:7.4%,M:6.3%,n:13780	Standard
UP000189705	Alligator sinensis (Chinese alligator)	38654	34875	C:97.8%[S:53.6%,D:44.2%],F:1.2%,M:1.0%,n:7480	Unknown
UP000189706	Mesocricetus auratus (Golden hamster)	10036	31672	C:70.3%[S:45.9%,D:24.4%],F:0.2%,M:29.5%,n:13798	Outlier (high value)
UP000190648	Patagioenas fasciata monilis	372326	24737	C:91.1%[S:72.5%,D:18.6%],F:2.9%,M:6.0%,n:8338	Outlier (high value)
UP000192220	Austrofundulus limnaeus	52670	32448	C:95.5%[S:68.5%,D:27.0%],F:1.1%,M:3.4%,n:15213	Outlier (high value)
UP000192223	Agrilus planipennis (Emerald ash borer) (Agrilus marcopoli)	224129	18772	C:96.5%[S:61.5%,D:35.0%],F:1.5%,M:2.0%,n:2124	Outlier (high value)
UP000192247	Tropilaelaps mercedesae	418985	14292	C:93.5%[S:92.0%,D:1.5%],F:2.9%,M:3.5%,n:2934	Standard
UP000192578	Hypsibius exemplaris (Freshwater tardigrade)	2072580	14867	C:69.0%[S:66.0%,D:2.9%],F:3.2%,M:27.8%,n:954	Unknown
UP000194236	Euroglyphus maynei (Mayne's house dust mite)	6958	15246	C:72.7%[S:71.5%,D:1.2%],F:16.8%,M:10.5%,n:2934	Standard
UP000197619	Lonchura striata domestica (Bengalese finch)	299123	15252	C:88.5%[S:88.0%,D:0.4%],F:3.7%,M:7.9%,n:10844	Outlier (high value)
UP000198287	Folsomia candida (Springtail)	158441	28565	C:77.7%[S:75.9%,D:1.8%],F:2.6%,M:19.7%,n:1013	Unknown
UP000198323	Callipepla squamata (Scaled quail)	9009	16973	C:81.2%[S:80.1%,D:1.1%],F:7.7%,M:11.1%,n:8338	Standard
UP000198419	Colinus virginianus (Northern bobwhite) (Tetrao virginianus)	9014	17122	C:80.4%[S:79.8%,D:0.6%],F:8.4%,M:11.2%,n:8338	Standard
UP000215335	Trichomalopsis sarcophagae	543379	16064	C:75.8%[S:75.0%,D:0.7%],F:3.6%,M:20.6%,n:5991	Standard
UP000215902	Macrostomum lignano	282301	43466	C:86.7%[S:6.0%,D:80.7%],F:3.0%,M:10.3%,n:954	Unknown
UP000216463	Caenorhabditis latens	1503980	25394	C:90.3%[S:84.7%,D:5.6%],F:3.0%,M:6.7%,n:3131	Outlier (high value)
UP000218220	Heliothis virescens (Tobacco budworm moth)	7102	17055	C:87.5%[S:69.9%,D:17.6%],F:2.3%,M:10.2%,n:5286	Outlier (high value)
UP000218231	Diploscapter pachys	2018661	33981	C:85.2%[S:31.9%,D:53.3%],F:2.3%,M:12.5%,n:3131	Outlier (high value)
UP000225706	Stylophora pistillata (Smooth cauliflower coral)	50429	24067	C:86.1%[S:85.6%,D:0.4%],F:5.0%,M:8.9%,n:954	Unknown
UP000228934	Lithobates catesbeianus (American bullfrog) (Rana catesbeiana)	8400	28218	C:16.1%[S:12.7%,D:3.4%],F:13.2%,M:70.6%,n:5310	Unknown
UP000230066	Fasciola hepatica (Liver fluke)	6192	11190	C:62.5%[S:61.2%,D:1.3%],F:9.9%,M:27.7%,n:954	Unknown
UP000230423	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	25373	C:40.3%[S:35.5%,D:4.8%],F:14.3%,M:45.4%,n:3131	Outlier (high value)
UP000230750	Stichopus japonicus (Sea cucumber)	307972	30032	C:84.4%[S:70.6%,D:13.7%],F:8.8%,M:6.8%,n:954	Unknown
UP000233020	Aotus nancymaae (Ma's night monkey)	37293	41725	C:94.2%[S:51.2%,D:43.0%],F:0.8%,M:5.1%,n:13780	Standard
UP000233040	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	2715852	40117	C:94.3%[S:56.4%,D:37.8%],F:0.9%,M:4.9%,n:13780	Standard
UP000233060	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	9531	45022	C:96.3%[S:50.2%,D:46.1%],F:0.4%,M:3.2%,n:13780	Outlier (high value)
UP000233080	Colobus angolensis palliatus (Peters' Angolan colobus)	336983	40241	C:93.6%[S:57.7%,D:35.9%],F:1.8%,M:4.7%,n:13780	Standard
UP000233100	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	9541	50208	C:90.4%[S:43.3%,D:47.1%],F:1.6%,M:8.0%,n:13780	Outlier (high value)
UP000233120	Macaca nemestrina (Pig-tailed macaque)	9545	45001	C:96.5%[S:49.2%,D:47.3%],F:0.4%,M:3.1%,n:13780	Outlier (high value)
UP000233140	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	9568	40661	C:92.4%[S:55.6%,D:36.8%],F:2.2%,M:5.4%,n:13780	Standard
UP000233160	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	379532	32113	C:88.6%[S:61.7%,D:26.9%],F:2.4%,M:8.9%,n:13780	Standard
UP000233180	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	61621	42660	C:93.2%[S:50.7%,D:42.5%],F:1.9%,M:4.9%,n:13780	Standard
UP000233200	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	61622	44577	C:94.9%[S:48.7%,D:46.2%],F:1.2%,M:3.9%,n:13780	Outlier (high value)
UP000233220	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	39432	39640	C:93.1%[S:51.0%,D:42.1%],F:1.4%,M:5.5%,n:13780	Standard
UP000233556	Limosa lapponica baueri	1758121	22950	C:57.7%[S:57.4%,D:0.3%],F:12.9%,M:29.4%,n:8338	Outlier (high value)
UP000235965	Cryptotermes secundus	105785	27252	C:93.0%[S:59.3%,D:33.7%],F:3.4%,M:3.7%,n:1367	Outlier (high value)
UP000237246	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	9083	17669	C:51.3%[S:51.0%,D:0.3%],F:21.5%,M:27.2%,n:8338	Standard
UP000240080	Pan paniscus (Pygmy chimpanzee) (Bonobo)	9597	42996	C:95.2%[S:55.3%,D:39.9%],F:1.2%,M:3.6%,n:13780	Standard
UP000242188	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	6573	22409	C:88.9%[S:88.2%,D:0.6%],F:1.5%,M:9.6%,n:5295	Unknown
UP000242457	Apis cerana cerana (Oriental honeybee)	94128	9931	C:91.3%[S:89.8%,D:1.6%],F:2.5%,M:6.2%,n:5991	Standard
UP000242638	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	33943	C:86.3%[S:62.3%,D:24.1%],F:3.0%,M:10.6%,n:15213	Outlier (high value)
UP000242913	Onchocerca flexuosa	387005	8122	C:66.7%[S:66.1%,D:0.6%],F:3.2%,M:30.2%,n:3131	Close to standard (low value)
UP000243164	Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus)	9764	10855	C:20.6%[S:20.6%,D:0.0%],F:11.4%,M:67.9%,n:13335	Standard
UP000245037	Blattella germanica (German cockroach) (Blatta germanica)	6973	29020	C:84.1%[S:82.1%,D:2.0%],F:9.7%,M:6.3%,n:1367	Outlier (high value)
UP000245300	Petromyzon marinus (Sea lamprey)	7757	11406	C:39.1%[S:35.2%,D:3.9%],F:12.9%,M:47.9%,n:3354	Unknown
UP000245320	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	9739	45129	C:98.7%[S:43.7%,D:55.0%],F:0.5%,M:0.8%,n:13335	Outlier (high value)
UP000245340	Odobenus rosmarus divergens (Pacific walrus)	9708	29573	C:98.9%[S:67.7%,D:31.1%],F:0.6%,M:0.6%,n:14502	Standard
UP000245341	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)	9713	34226	C:84.8%[S:53.8%,D:31.0%],F:9.4%,M:5.9%,n:14502	Outlier (high value)
UP000246464	Scophthalmus maximus (Turbot) (Psetta maxima)	52904	24929	C:89.5%[S:73.5%,D:15.9%],F:2.0%,M:8.6%,n:3640	Standard
UP000248480	Trichechus manatus latirostris (Florida manatee)	127582	31601	C:96.8%[S:62.4%,D:34.4%],F:1.4%,M:1.8%,n:11366	Standard
UP000248482	Enhydra lutris kenyoni	391180	32891	C:99.3%[S:59.1%,D:40.2%],F:0.2%,M:0.5%,n:14502	Standard
UP000248483	Delphinapterus leucas (Beluga whale)	9749	40785	C:99.0%[S:46.0%,D:52.9%],F:0.4%,M:0.6%,n:13335	Outlier (high value)
UP000248484	Physeter macrocephalus (Sperm whale) (Physeter catodon)	9755	41870	C:95.3%[S:48.5%,D:46.8%],F:2.3%,M:2.4%,n:13335	Outlier (high value)
UP000249218	Helicoverpa armigera (Cotton bollworm) (Heliothis armigera)	29058	37	C:0.2%[S:0.1%,D:0.0%],F:0.0%,M:99.8%,n:5286	Standard
UP000249989	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	16616	C:81.8%[S:67.3%,D:14.5%],F:5.4%,M:12.8%,n:3285	Outlier (high value)
UP000250275	Eufriesea mexicana	516756	7068	C:51.1%[S:50.8%,D:0.4%],F:3.2%,M:45.7%,n:5991	Standard
UP000250572	Gambusia affinis (Western mosquitofish) (Heterandria affinis)	33528	19443	C:71.3%[S:71.1%,D:0.2%],F:3.0%,M:25.7%,n:15213	Standard
UP000252519	Ancylostoma caninum (Dog hookworm)	29170	29972	C:72.3%[S:65.0%,D:7.3%],F:11.5%,M:16.1%,n:3131	Outlier (high value)
UP000253843	Trichoplax sp. H2	287889	12150	C:94.9%[S:94.0%,D:0.8%],F:2.0%,M:3.1%,n:954	Unknown
UP000257160	Amphiprion ocellaris (Clown anemonefish)	80972	31745	C:95.4%[S:73.6%,D:21.8%],F:2.3%,M:2.3%,n:3640	Standard
UP000257200	Acanthochromis polyacanthus (spiny chromis)	80966	33480	C:94.5%[S:64.7%,D:29.8%],F:2.4%,M:3.0%,n:3640	Standard
UP000261580	Neolamprologus brichardi (Fairy cichlid) (Lamprologus brichardi)	32507	31886	C:86.6%[S:69.8%,D:16.8%],F:5.4%,M:8.0%,n:3640	Standard
UP000261620	Mola mola (Ocean sunfish) (Tetraodon mola)	94237	28963	C:90.8%[S:75.2%,D:15.6%],F:3.5%,M:5.7%,n:3640	Standard
UP000261640	Mastacembelus armatus (zig-zag eel)	205130	59116	C:96.8%[S:51.2%,D:45.5%],F:1.0%,M:2.3%,n:3640	Outlier (high value)
UP000261660	Labrus bergylta (ballan wrasse)	56723	37793	C:94.1%[S:66.6%,D:27.6%],F:2.8%,M:3.1%,n:3640	Outlier (high value)
UP000261680	Ursus maritimus (Polar bear) (Thalarctos maritimus)	29073	35009	C:99.0%[S:59.7%,D:39.3%],F:0.4%,M:0.6%,n:14502	Outlier (high value)
UP000261681	Balaenoptera acutorostrata scammoni (North Pacific minke whale) (Balaenoptera davidsoni)	310752	32085	C:97.9%[S:60.3%,D:37.6%],F:1.1%,M:1.0%,n:13335	Outlier (high value)
UP000264800	Kryptolebias marmoratus (Mangrove killifish) (Rivulus marmoratus)	37003	29685	C:87.8%[S:67.7%,D:20.1%],F:2.1%,M:10.1%,n:15213	Standard
UP000264840	Haplochromis burtoni (Burton's mouthbrooder) (Chromis burtoni)	8153	34332	C:93.2%[S:61.6%,D:31.6%],F:2.0%,M:4.8%,n:3640	Outlier (high value)
UP000265020	Cyprinodon variegatus (Sheepshead minnow)	28743	31881	C:85.6%[S:62.2%,D:23.4%],F:3.0%,M:11.4%,n:15213	Standard
UP000265040	Anabas testudineus (Climbing perch) (Anthias testudineus)	64144	61942	C:97.1%[S:51.5%,D:45.5%],F:1.0%,M:1.9%,n:3640	Outlier (high value)
UP000265080	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	33681	C:93.7%[S:65.2%,D:28.5%],F:1.9%,M:4.4%,n:3640	Standard
UP000265120	Cynoglossus semilaevis (Tongue sole)	244447	32408	C:94.6%[S:62.1%,D:32.5%],F:1.9%,M:3.5%,n:3640	Standard
UP000265140	Esox lucius (Northern pike)	8010	71519	C:97.6%[S:43.9%,D:53.7%],F:0.9%,M:1.5%,n:3640	Outlier (high value)
UP000265160	Maylandia zebra (zebra mbuna)	106582	37295	C:97.1%[S:72.0%,D:25.1%],F:1.1%,M:1.8%,n:3640	Outlier (high value)
UP000265300	Lipotes vexillifer (Yangtze river dolphin)	118797	26005	C:97.5%[S:74.5%,D:23.0%],F:1.0%,M:1.4%,n:13335	Standard
UP000265894	Cephus cinctus (Wheat stem sawfly)	211228	160	C:0.1%[S:0.1%,D:0.0%],F:0.0%,M:99.9%,n:5991	Standard
UP000267027	Angiostrongylus costaricensis (Nematode worm)	334426	13350	C:78.5%[S:77.8%,D:0.7%],F:9.0%,M:12.5%,n:3131	Standard
UP000267029	Mesocestoides corti (Flatworm)	53468	10572	C:66.9%[S:66.1%,D:0.7%],F:7.4%,M:25.7%,n:954	Unknown
UP000267096	Anisakis simplex (Herring worm)	6269	20779	C:64.6%[S:62.1%,D:2.5%],F:6.4%,M:29.0%,n:3131	Close to standard (high value)
UP000268014	Haemonchus placei (Barber's pole worm)	6290	21409	C:77.9%[S:76.5%,D:1.4%],F:8.8%,M:13.3%,n:3131	Outlier (high value)
UP000268350	Drosophila guanche (Fruit fly)	7266	17569	C:97.7%[S:75.2%,D:22.5%],F:0.2%,M:2.1%,n:3285	Outlier (high value)
UP000269221	Hirundo rustica rustica	333673	34534	C:77.5%[S:76.4%,D:1.1%],F:6.1%,M:16.4%,n:10844	Outlier (high value)
UP000269945	Gulo gulo (Wolverine) (Gluton)	48420	19667	C:46.1%[S:46.0%,D:0.2%],F:7.3%,M:46.6%,n:14502	Standard
UP000270094	Strongylus vulgaris (Blood worm)	40348	20844	C:26.6%[S:25.3%,D:1.3%],F:12.4%,M:61.0%,n:3131	Outlier (high value)
UP000270296	Soboliphyme baturini	241478	13153	C:35.4%[S:34.7%,D:0.7%],F:6.2%,M:58.4%,n:3131	Unknown
UP000270924	Wuchereria bancrofti	6293	13000	C:77.8%[S:77.3%,D:0.6%],F:7.1%,M:15.0%,n:3131	Standard
UP000271087	Onchocerca ochengi (Filarial nematode worm)	42157	13353	C:84.2%[S:81.0%,D:3.2%],F:5.7%,M:10.0%,n:3131	Standard
UP000271162	Nippostrongylus brasiliensis (Rat hookworm)	27835	22636	C:74.8%[S:68.8%,D:6.0%],F:8.9%,M:16.3%,n:3131	Outlier (high value)
UP000271889	Cylicostephanus goldi (Nematode worm)	71465	13786	C:12.6%[S:12.0%,D:0.6%],F:9.6%,M:77.7%,n:3131	Standard
UP000271974	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	188477	23836	C:81.7%[S:80.7%,D:1.0%],F:3.4%,M:15.0%,n:5295	Outlier (high value)
UP000272942	Echinostoma caproni	27848	18535	C:38.2%[S:37.6%,D:0.5%],F:25.6%,M:36.3%,n:954	Unknown
UP000274131	Enterobius vermicularis (Human pinworm)	51028	12840	C:79.7%[S:78.4%,D:1.3%],F:4.2%,M:16.1%,n:3131	Standard
UP000274429	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	6205	11591	C:59.0%[S:58.6%,D:0.4%],F:10.5%,M:30.5%,n:954	Unknown
UP000274504	Hymenolepis diminuta (Rat tapeworm)	6216	11238	C:69.5%[S:68.8%,D:0.7%],F:6.5%,M:24.0%,n:954	Unknown
UP000274756	Dracunculus medinensis (Guinea worm)	318479	10868	C:78.1%[S:77.5%,D:0.6%],F:5.8%,M:16.1%,n:3131	Close to standard (low value)
UP000275408	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	46731	25411	C:87.7%[S:87.5%,D:0.2%],F:5.7%,M:6.6%,n:954	Unknown
UP000276776	Thelazia callipaeda (Oriental eyeworm) (Parasitic nematode)	103827	10885	C:89.2%[S:88.7%,D:0.4%],F:3.3%,M:7.5%,n:3131	Close to standard (low value)
UP000276834	Chloebia gouldiae (Gouldian finch) (Erythrura gouldiae)	44316	18274	C:76.8%[S:75.3%,D:1.5%],F:4.9%,M:18.3%,n:10844	Outlier (high value)
UP000276991	Acanthocheilonema viteae (Filarial nematode worm) (Dipetalonema viteae)	6277	10007	C:85.2%[S:83.8%,D:1.4%],F:4.1%,M:10.7%,n:3131	Close to standard (low value)
UP000277928	Litomosoides sigmodontis (Filarial nematode worm)	42156	9894	C:88.9%[S:87.5%,D:1.4%],F:3.2%,M:7.9%,n:3131	Close to standard (low value)
UP000278627	Brugia pahangi (Filarial nematode worm)	6280	14545	C:91.2%[S:90.0%,D:1.1%],F:3.5%,M:5.3%,n:3131	Standard
UP000278807	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	102285	13592	C:68.6%[S:67.4%,D:1.2%],F:6.7%,M:24.7%,n:954	Unknown
UP000281406	Anabarilius grahami (Kanglang fish) (Barilius grahami)	495550	23663	C:62.2%[S:60.4%,D:1.8%],F:4.5%,M:33.3%,n:3640	Standard
UP000282613	Taenia asiatica (Asian tapeworm)	60517	10244	C:68.0%[S:67.4%,D:0.6%],F:6.1%,M:25.9%,n:954	Unknown
UP000283053	Chilo suppressalis (Asiatic rice borer moth)	168631	15558	C:90.3%[S:88.5%,D:1.9%],F:1.6%,M:8.0%,n:5286	Standard
UP000283210	Oryzias javanicus (Javanese ricefish) (Aplocheilus javanicus)	123683	21400	C:83.8%[S:82.4%,D:1.4%],F:2.7%,M:13.5%,n:3640	Standard
UP000283509	Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	6689	25399	C:77.5%[S:72.5%,D:5.0%],F:8.7%,M:13.8%,n:1013	Outlier (high value)
UP000286640	Vulpes vulpes (Red fox)	9627	32184	C:97.0%[S:60.9%,D:36.1%],F:1.0%,M:2.0%,n:14502	Standard
UP000286641	Callorhinus ursinus (Northern fur seal)	34884	35455	C:98.4%[S:49.2%,D:49.1%],F:0.3%,M:1.3%,n:14502	Outlier (high value)
UP000287033	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	137246	5829	C:87.9%[S:85.4%,D:2.5%],F:6.2%,M:5.9%,n:3354	Unknown
UP000288216	Scyliorhinus torazame (Cloudy catshark)	75743	3865	C:77.4%[S:74.4%,D:3.0%],F:12.9%,M:9.7%,n:3354	Unknown
UP000288706	Armadillidium vulgare (Pillbug) (Pill woodlouse)	13347	18774	C:66.8%[S:61.5%,D:5.3%],F:11.7%,M:21.4%,n:1013	Outlier (high value)
UP000288716	Leptotrombidium deliense	299467	14651	C:85.1%[S:82.9%,D:2.2%],F:3.7%,M:11.1%,n:2934	Standard
UP000289886	Acipenser ruthenus (Sterlet sturgeon)	7906	22004	C:56.6%[S:38.4%,D:18.2%],F:7.4%,M:36.0%,n:3640	Unknown
UP000290572	Labeo rohita (Indian major carp) (Cyprinus rohita)	84645	32379	C:72.4%[S:50.2%,D:22.2%],F:7.8%,M:19.8%,n:3640	Standard
UP000290809	Schistosoma bovis (Blood fluke)	6184	11348	C:60.5%[S:57.4%,D:3.0%],F:11.9%,M:27.6%,n:954	Unknown
UP000291000	Capra hircus (Goat)	9925	32609	C:96.5%[S:57.9%,D:38.6%],F:0.8%,M:2.6%,n:13335	Outlier (high value)
UP000291020	Gopherus agassizii (Agassiz's desert tortoise)	38772	31812	C:91.5%[S:55.3%,D:36.2%],F:2.6%,M:6.0%,n:7480	Unknown
UP000291022	Ursus americanus (American black bear) (Euarctos americanus)	9643	32512	C:79.0%[S:55.8%,D:23.2%],F:4.2%,M:16.8%,n:14502	Standard
UP000291343	Laodelphax striatellus (Small brown planthopper) (Delphax striatella)	195883	17309	C:95.4%[S:91.8%,D:3.5%],F:1.2%,M:3.4%,n:2510	Standard
UP000292052	Asbolus verrucosus	1661398	15225	C:83.3%[S:82.1%,D:1.3%],F:8.2%,M:8.4%,n:2124	Standard
UP000295192	Drosophila navojoa (Fruit fly)	7232	15505	C:94.4%[S:94.0%,D:0.4%],F:1.8%,M:3.8%,n:3285	Outlier (high value)
UP000295264	Sousa chinensis (Indo-pacific humpbacked dolphin) (Steno chinensis)	103600	8382	C:36.0%[S:35.7%,D:0.3%],F:0.8%,M:63.2%,n:13335	Standard
UP000296049	Anas platyrhynchos (Mallard) (Anas boschas)	8839	16592	C:75.9%[S:75.5%,D:0.4%],F:4.2%,M:19.8%,n:8338	Standard
UP000297026	Diachasma alloeum	454923	431	C:1.5%[S:1.5%,D:0.0%],F:0.0%,M:98.5%,n:5991	Standard
UP000297703	Platysternon megacephalum (big-headed turtle)	55544	21371	C:88.5%[S:87.3%,D:1.2%],F:2.8%,M:8.7%,n:7480	Unknown
UP000298787	Collichthys lucidus (Big head croaker) (Sciaena lucida)	240159	27208	C:87.9%[S:67.0%,D:20.9%],F:3.8%,M:8.2%,n:3640	Standard
UP000308267	Opisthorchis felineus	147828	18330	C:77.7%[S:50.2%,D:27.5%],F:4.1%,M:18.2%,n:954	Unknown
UP000308365	Monodon monoceros (Narwhal) (Ceratodon monodon)	40151	20731	C:71.5%[S:70.8%,D:0.7%],F:7.7%,M:20.7%,n:13335	Standard
UP000310200	Temnothorax longispinosus	300112	13035	C:83.4%[S:82.9%,D:0.5%],F:3.4%,M:13.2%,n:5991	Standard
UP000311919	Schistosoma japonicum (Blood fluke)	6182	14733	C:72.1%[S:40.5%,D:31.7%],F:4.5%,M:23.4%,n:954	Unknown
UP000314980	Lates calcarifer (Barramundi) (Holocentrus calcarifer)	8187	57547	C:93.4%[S:49.8%,D:43.6%],F:3.2%,M:3.4%,n:3640	Outlier (high value)
UP000314981	Bos indicus x Bos taurus (Hybrid cattle)	30522	42151	C:95.3%[S:51.2%,D:44.1%],F:0.4%,M:4.3%,n:13335	Outlier (high value)
UP000314982	Hucho hucho (huchen)	62062	90503	C:89.7%[S:31.6%,D:58.1%],F:4.1%,M:6.3%,n:3640	Outlier (high value)
UP000314983	Electrophorus electricus (Electric eel) (Gymnotus electricus)	8005	50899	C:91.9%[S:52.9%,D:39.0%],F:3.0%,M:5.1%,n:3640	Outlier (high value)
UP000314986	Callorhinchus milii (Ghost shark)	7868	49245	C:90.0%[S:39.4%,D:50.6%],F:5.0%,M:4.9%,n:3354	Unknown
UP000314987	Vombatus ursinus (Common wombat)	29139	31139	C:91.2%[S:58.0%,D:33.3%],F:2.2%,M:6.6%,n:9226	Standard
UP000316079	Danionella translucida	623744	32815	C:84.1%[S:59.1%,D:25.0%],F:4.2%,M:11.7%,n:3640	Standard
UP000316759	Fasciola gigantica (Giant liver fluke)	46835	12643	C:59.9%[S:58.8%,D:1.0%],F:11.2%,M:28.9%,n:954	Unknown
UP000319801	Bagarius yarrelli (Goonch) (Bagrus yarrelli)	175774	17117	C:65.5%[S:63.8%,D:1.7%],F:6.1%,M:28.4%,n:3640	Standard
UP000322000	Trichoplusia ni (Cabbage looper)	7111	20889	C:98.7%[S:65.6%,D:33.1%],F:0.2%,M:1.1%,n:5286	Outlier (high value)
UP000324629	Paragonimus westermani	34504	12535	C:61.2%[S:59.9%,D:1.4%],F:12.9%,M:25.9%,n:954	Unknown
UP000324832	Leptidea sinapis	189913	19862	C:89.6%[S:80.8%,D:8.8%],F:4.2%,M:6.2%,n:5286	Outlier (high value)
UP000325440	Cinara cedri	506608	22140	C:95.5%[S:66.4%,D:29.0%],F:0.2%,M:4.3%,n:2510	Outlier (high value)
UP000326759	Armadillidium nasatum	96803	14427	C:75.0%[S:70.3%,D:4.7%],F:8.7%,M:16.3%,n:1013	Outlier (high value)
UP000327044	Photinus pyralis (Common eastern firefly) (Lampyris pyralis)	7054	14952	C:94.6%[S:83.5%,D:11.1%],F:0.4%,M:5.0%,n:2124	Standard
UP000335636	Marmota monax (Woodchuck)	9995	41281	C:81.1%[S:53.8%,D:27.2%],F:5.9%,M:13.0%,n:13798	Outlier (high value)
UP000386466	Lynx pardinus (Iberian lynx) (Felis pardina)	191816	30929	C:87.2%[S:64.5%,D:22.7%],F:3.2%,M:9.6%,n:14502	Standard
